,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
2629601,68967540.0,drewnoakes/metadata-extractor,False,,java,master,1.0,build_found,68886310.0,2015-03-12 07:07:04,3,18731,2016-03-15,passed,0.0,,40.0
2634173,69218190.0,grpc/grpc-java,False,,java,master,1.0,build_found,69196860.0,2015-03-17 02:28:12,17,28820,2016-02-03,passed,0.0,,
2693664,72209430.0,grpc/grpc-java,False,,java,master,3.0,build_found,72209080.0,2015-04-04 17:23:54,18,29843,2016-01-03,passed,0.0,,
2693666,72209700.0,grpc/grpc-java,False,,java,master,1.0,build_found,72209430.0,2015-04-04 17:23:54,18,29845,2016-01-03,passed,0.0,,
2803448,78666720.0,grpc/grpc-java,False,,java,master,1.0,build_found,78665080.0,2015-05-08 11:32:38,15,32029,2016-02-03,errored,1.0,,
2964333,90396040.0,GoogleCloudPlatform/DataflowJavaSDK,False,,java,master,1.0,build_found,90386480.0,2015-06-28 03:42:02,25,54708,2016-01-19,passed,5.0,,
2982794,92007930.0,restlet/restlet-framework-java,True,2015-11-19 09:04:48,java,master,3.0,build_found,88388040.0,2015-07-06 02:31:23,6,114901,2016-01-26,passed,0.0,False,
2990093,92684110.0,iluwatar/java-design-patterns,True,2015-11-23 09:28:56,java,master,20.0,build_found,92659460.0,2015-07-08 13:13:03,11,9296,2016-01-03,passed,0.0,False,268.0
3071322,99224750.0,javaparser/javaparser,True,2015-12-29 08:49:30,java,master,2.0,build_found,96703990.0,2015-07-31 16:13:37,7,12234,2016-01-13,passed,0.0,False,47.92
3080026,99784390.0,jamesagnew/hapi-fhir,False,,java,master,1.0,build_found,99761190.0,2015-08-04 16:43:54,5,548084,2016-01-02,failed,7.0,,308.0
3080033,99786170.0,sevntu-checkstyle/sevntu.checkstyle,True,2016-01-02 04:53:28,java,master,1.0,build_found,99674480.0,2015-08-04 16:43:54,8,7618,2016-01-03,passed,72.0,False,
3095457,100699640.0,dropwizard/dropwizard,False,,java,master,2.0,merge_found,,2015-08-07 16:15:05,29,16068,2016-01-19,passed,1.0,False,203.0
