,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
1327345,24683044.0,sferik/rails_admin,True,2014-05-08 03:36:18,ruby,master,2.0,build_found,23370734.0,2014-05-08 05:35:57,24,4944,2016-02-04,failed,,False,
1723441,35927704.0,winebarrel/ridgepole,True,2014-09-22 09:43:45,ruby,master,5.0,build_found,35243540.0,2014-06-10 17:17:09,4,875,2016-01-12,passed,,False,
1731663,36221436.0,rapid7/metasploit-framework,False,,ruby,master,2.0,merge_found,,2014-09-25 04:11:28,86,581164,2016-01-19,passed,16.0,False,
2305896,54525424.0,openaustralia/morph,False,,ruby,master,3.0,build_found,54426404.0,2014-12-18 02:02:48,6,4052,2016-01-05,passed,0.0,False,
2305897,54526084.0,rspec/rspec-core,True,2015-03-16 04:57:17,ruby,master,2.0,build_found,54522260.0,2014-12-18 02:02:48,20,7060,2016-01-05,passed,1.0,,
2441483,60567450.0,cerebris/jsonapi-resources,True,2015-04-29 14:56:55,ruby,master,4.0,build_found,60119064.0,2015-01-21 15:40:14,10,2326,2016-02-25,passed,0.0,False,
2629600,68967470.0,openSUSE/open-build-service,False,,ruby,master,2.0,build_found,68934744.0,2015-03-12 07:07:04,19,29931,2016-03-15,passed,1.0,False,
2671499,71128290.0,gavinlaking/vedeu,False,,ruby,master,11.0,merge_found,,2015-03-27 23:46:46,3,17180,2016-02-10,passed,0.0,False,
2671502,71128984.0,gavinlaking/vedeu,False,,ruby,master,1.0,build_found,71128290.0,2015-03-27 17:09:26,3,17180,2016-02-10,passed,0.0,False,
2693667,72209720.0,rapid7/metasploit-framework,False,,ruby,master,3.0,merge_found,,2015-04-04 17:23:54,86,641710,2016-01-03,passed,4.0,False,
2756125,75615660.0,openSUSE/open-build-service,True,2015-08-14 12:41:53,ruby,master,2.0,build_found,75587840.0,2015-04-22 14:23:03,22,30426,2016-01-21,passed,0.0,False,
2838638,81104830.0,voltrb/volt,False,,ruby,master,5.0,merge_found,,2015-05-12 02:03:21,18,11047,2016-02-03,passed,2.0,False,
2858214,82464080.0,presidentbeef/brakeman,True,2015-09-27 19:22:09,ruby,master,1.0,build_found,82318800.0,2015-05-26 19:33:33,8,12517,2016-02-04,passed,0.0,,
2906746,86102080.0,cheezy/page-object,True,2015-10-18 22:13:34,ruby,master,2.0,build_found,76821224.0,2015-06-10 14:45:49,4,6656,2016-01-07,passed,0.0,False,
2910161,86387790.0,rails-api/active_model_serializers,True,2015-10-20 10:26:41,ruby,master,2.0,build_found,85731640.0,2015-06-11 16:41:53,54,1183,2016-03-10,passed,0.0,,
2964275,90394100.0,weppos/whois,False,,ruby,master,1.0,build_found,90393420.0,2015-05-18 12:33:02,1,11359,2016-01-19,passed,2.0,,
2964292,90394500.0,tmuxinator/tmuxinator,False,,ruby,master,3.0,merge_found,,2015-06-25 19:23:37,8,1937,2016-01-19,errored,118.0,False,
2964320,90394696.0,pearkes/tugboat,False,,ruby,master,1.0,build_found,90391350.0,2015-06-28 03:42:02,5,1913,2016-01-19,passed,0.0,False,
2964342,90397740.0,tmuxinator/tmuxinator,False,,ruby,master,1.0,build_found,90394500.0,2015-03-18 09:44:04,8,1937,2016-01-19,errored,103.0,,
3011261,94473100.0,rapid7/metasploit-framework,True,2015-11-16 18:20:21,ruby,master,20.0,build_found,94190090.0,2015-07-14 11:28:50,92,595918,2016-02-23,passed,23.0,False,
3068499,99016740.0,intridea/oauth2,True,2015-12-22 11:40:56,ruby,master,5.0,build_found,98300480.0,2015-07-30 18:13:39,3,466,2016-01-24,passed,0.0,False,
3072994,99379304.0,rails-api/active_model_serializers,True,2015-12-16 06:09:42,ruby,master,3.0,build_found,99042420.0,2015-08-01 14:09:19,52,1492,2016-01-04,passed,0.0,,
3080021,99781350.0,expertiza/expertiza,False,,ruby,master,12.0,merge_found,,2015-08-04 16:43:54,12,27315,2016-01-02,failed,40.0,True,
3080022,99782060.0,expertiza/expertiza,False,,ruby,master,1.0,build_found,99781350.0,2015-08-04 16:43:54,12,27315,2016-01-02,passed,44.0,False,
3080035,99787170.0,pry/pry,False,,ruby,master,2.0,merge_found,,2015-08-04 16:43:54,17,9136,2016-01-02,passed,1.0,False,
3083302,99921530.0,rapid7/metasploit-framework,True,2016-01-03 04:50:24,ruby,master,17.0,build_found,98154880.0,2015-08-05 09:22:35,94,599703,2016-01-23,passed,24.0,False,
3092929,100518376.0,matschaffer/knife-solo,False,,ruby,master,2.0,merge_found,,2015-05-07 05:36:53,5,1547,2016-01-06,passed,0.0,,
3094224,100631570.0,rspec/rspec-mocks,False,,ruby,master,2.0,merge_found,,2015-08-09 05:32:25,16,4214,2016-01-06,passed,3.0,,
3094854,100664220.0,projecthydra/sufia,True,2016-01-06 19:55:04,ruby,master,2.0,build_found,100645270.0,2015-08-09 19:57:01,37,6618,2016-01-07,passed,0.0,False,
3094855,100665720.0,google/google-api-ruby-client,False,,ruby,master,5.0,merge_found,,2015-08-09 19:57:01,7,122330,2016-01-06,errored,36.0,False,
3094977,100675090.0,rapid7/metasploit-framework,False,,ruby,master,2.0,merge_found,,2015-07-25 22:01:47,94,600075,2016-01-06,passed,4.0,,
