afeld/magickly,75
yob/pdf-reader,123
mbulat/plutus,63
innoq/iqvoc,820
padrino/padrino-framework,1424
brianmario/mysql2,250
rails/rails,12199
seejohnrun/ice_cube,166
travis-ci/travis-core,1608
presidentbeef/brakeman,945
rubinius/rubinius,2981
peter-murach/github,558
guard/guard,611
guard/guard-spork,61
plataformatec/simple_form,442
ruby-amqp/amqp,147
kmuto/review,803
maxdemarzi/neography,368
codeforamerica/adopt-a-hydrant,575
radiant/radiant,210
apneadiving/Google-Maps-for-Rails,151
gedankenstuecke/snpr,647
test-unit/test-unit,446
podio/podio-rb,560
solnic/virtus,384
jnicklas/capybara,625
spree/spree,1001
le0pard/mongodb_logger,120
guard/guard-rspec,217
ging/social_stream,1242
metaskills/less-rails,69
sferik/rails_admin,891
railsbp/rails-bestpractices.com,106
Compass/compass-rails,175
plataformatec/devise,875
middleman/middleman,1090
lukaszkorecki/CoffeeTags,81
diaspora/diaspora,814
codeforamerica/follow-all,552
sferik/sign-in-with-twitter,679
sferik/t,461
pry/pry,1213
paulasmuth/fnordmetric,165
fatfreecrm/fat_free_crm,531
saberma/shopqi,202
josevalim/rails-footnotes,112
jnicklas/turnip,123
rubygems/rubygems,1727
engineyard/engineyard,187
intridea/oauth2,52
justinfrench/formtastic,292
bploetz/versionist,52
railsbp/rails_best_practices,229
ddollar/foreman,315
errbit/errbit,841
jruby/jruby-rack,87
locomotivecms/engine,937
hacketyhack/hackety-hack.com,92
RubyMoney/money,530
cheezy/page-object,432
jarib/childprocess,126
nbudin/devise_cas_authenticatable,117
rspec/rspec-core,1499
randym/axlsx,469
danielweinmann/catarse,485
mbleigh/acts-as-taggable-on,267
weppos/whois,614
judofyr/temple,142
heroku/heroku,1918
holman/boom,42
radar/forem,316
huerlisi/bookyt,390
hotsh/rstat.us,233
rspec/rspec-expectations,756
thoughtbot/kumade,11
thoughtbot/factory_girl,264
intridea/hashie,245
livingsocial/rake-pipeline,33
mikel/mail,336
bostonrb/bostonrb,70
rtomayko/tilt,164
sstephenson/sprockets,490
LTe/grape-rabl,63
steelThread/redmon,107
intridea/omniauth,107
njonsson/cape,68
rubycas/rubycas-client,44
davetron5000/methadone,127
rodjek/puppet-lint,242
Locale/localeapp,170
dradis/dradisframework,68
sferik/multi_xml,123
mongoid/origin,228
thoughtbot/paperclip,535
elcuervo/airplay,129
thoughtbot/paul_revere,30
bensie/sshkey,78
collectiveidea/awesome_nested_set,150
lwe/simple_enum,119
tigrish/devise-i18n,213
camping/camping,68
sgruhier/foundation_rails_helper,148
codebrew/backbone-rails,68
michelson/lazy_high_charts,105
guard/listen,473
matschaffer/knife-solo,365
ari/jobsworth,180
nov/openid_connect,101
jruby/warbler,185
heroku/heroku.rb,193
dejan/auto_html,111
cgriego/active_attr,102
comfy/comfortable-mexican-sofa,616
adhearsion/adhearsion,254
sstephenson/execjs,103
pengwynn/faraday_middleware,37
Shopify/liquid,568
wvanbergen/chunky_png,97
rubychan/coderay,209
remiprev/teamocil,100
mongoid/moped,598
rspec/rspec-rails,724
glejeune/Ruby-Graphviz,88
emberjs/ember-rails,366
codez/dry_crud,113
wvanbergen/request-log-analyzer,113
htty/htty,98
rspec/rspec-mocks,968
tdiary/tdiary-core,664
bokmann/business_time,53
tscolari/mobylette,49
myronmarston/vcr,129
colszowka/simplecov,294
thinreports/thinreports-generator,137
jruby/activerecord-jdbc-adapter,356
aq1018/mongoid-history,124
ctran/annotate_models,66
sferik/mtgox,94
tpitale/legato,115
concerto/concerto,2146
guard/guard-livereload,97
langalex/couch_potato,123
svenfuchs/gem-release,69
paulasmuth/recommendify,80
benhoskings/babushka,223
kei-s/github-preview,57
mperham/dalli,254
drbrain/net-http-persistent,58
mislav/will_paginate,34
metaskills/less-rails-bootstrap,125
wr0ngway/rubber,157
lardawge/carrierwave_backgrounder,130
morgoth/picasa,52
ejholmes/metaforce,55
guard/guard-minitest,210
davidcelis/recommendable,177
arsduo/koala,186
beerlington/classy_enum,69
nov/fb_graph,158
railsware/js-routes,176
amatsuda/kaminari,313
davetron5000/gli,9
lsegal/yard,327
ryanb/nested_form,52
felipecsl/wombat,108
thetron/mongoid_token,70
fluent/fluent-logger-ruby,66
faye/faye-websocket-ruby,181
nesquena/rabl,345
nov/json-jwt,174
colinsurprenant/redstorm,73
datamapper/do,78
pellegrino/jackpot,48
NoamB/sorcery,334
gma/nesta,91
postrank-labs/goliath,115
nahi/httpclient,209
jsmestad/pivotal-tracker,62
jlong/serve,51
puppetlabs/puppet,2220
jaimeiniesta/metainspector,189
thoughtbot/clearance,409
adelevie/parse-ruby-client,217
activewarehouse/activewarehouse-etl,47
radar/by_star,74
kytrinyx/approvals,130
mperham/sidekiq,1595
skoji/gepub,115
wvanbergen/state_machine-audit_trail,44
ledermann/unread,139
thoughtbot/high_voltage,131
eventmachine/eventmachine,226
assaf/vanity,225
mkdynamic/omniauth-facebook,107
collectiveidea/json_spec,37
thoughtbot/shoulda-matchers,509
crowdint/rails3-jquery-autocomplete,82
flyerhzm/bullet,263
mitchellh/vagrant,3713
amatsuda/active_decorator,104
mperham/girl_friday,13
dkubb/veritas,108
twilio/twilio-ruby,213
ai/r18n,213
rslifka/elasticity,301
kpumuk/meta-tags,67
celluloid/celluloid,870
celluloid/celluloid-io,256
plataformatec/responders,83
gazay/gon,183
eric/metriks,81
jordansissel/fpm,332
matthuhiggins/foreigner,91
ananthakumaran/fake_dynamo,92
nathanl/authority,169
redis/redis-rb,335
pivotal/pivotal_workstation,343
rails/sprockets-rails,310
jruby/jruby,7787
psyho/bogus,194
charlotte-ruby/impressionist,138
rails/activeresource,124
zinenko/vk-ruby,85
rdoc/rdoc,460
hakanensari/vacuum,82
Gazler/githug,186
denniskuczynski/beanstalkd_view,101
thoughtbot/suspenders,604
grosser/fast_gettext,66
troessner/transitions,149
louismullie/treat,183
celluloid/celluloid-zmq,107
dkubb/ice_nine,116
rudionrails/yell,197
thoughtbot/appraisal,94
peter-murach/github_cli,248
Shopify/statsd-instrument,138
benjaminoakes/maid,251
fastestforward/heroku_san,85
intercom/intercom-ruby,204
librato/librato-metrics,167
nevans/resque-pool,71
puma/puma,787
svenfuchs/rails-i18n,467
rubyworks/facets,288
pdfkit/pdfkit,125
RubyMoney/money-rails,327
thoughtbot/flutie,32
laserlemon/figaro,107
